                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7262,                 1.1288,                 1.1384,                 2.1476,                 1.5601,                 1.0748,                0.74221,                0.48794,                0.54685,                0.27595,                 1.5097,                0.78681,                  1.048,                 1.8996,                 1.0593,                 1.0359,              0.0033313,              0.0033313,              0.0033313
                      2,                 1.5801,                0.88046,                 1.0395,                 2.0188,                 1.1672,                 1.0131,                 0.7664,                0.50249,                 0.5669,                0.29063,                 1.5085,                0.78515,                 1.0329,                 1.8582,                 1.0076,                 1.0128,              0.0066206,              0.0066206,              0.0066206
                      3,                 1.6232,                0.94584,                 1.0538,                 2.0673,                 1.2426,                 1.0252,                0.74583,                0.48169,                0.54495,                 0.2737,                 1.5334,                0.83398,                 1.0458,                 1.8958,                 1.1053,                 1.0296,               0.009866,               0.009866,               0.009866
                      4,                 1.6346,                0.96168,                 1.0636,                 2.0753,                 1.2603,                  1.034,                0.76372,                0.48784,                0.55385,                 0.2861,                 1.4974,                0.82357,                 1.0501,                 1.8712,                  1.077,                 1.0376,               0.009802,               0.009802,               0.009802
                      5,                 1.5804,                0.90222,                  1.048,                 2.0288,                 1.1937,                 1.0218,                0.78445,                0.50384,                 0.5705,                0.29777,                 1.4514,                0.76817,                 1.0365,                 1.8322,                  1.009,                 1.0255,               0.009802,               0.009802,               0.009802
                      6,                 1.5448,                0.86289,                 1.0392,                 1.9774,                 1.1381,                 1.0131,                0.79203,                0.52289,                0.59206,                0.31059,                 1.4342,                0.74334,                 1.0253,                 1.7988,                0.96545,                  1.018,               0.009736,               0.009736,               0.009736
                      7,                 1.5219,                0.83833,                 1.0354,                 1.9446,                 1.1002,                 1.0092,                0.79269,                0.53316,                0.60213,                0.32261,                    1.4,                0.71495,                 1.0179,                 1.7558,                0.93471,                0.99993,                0.00967,                0.00967,                0.00967
                      8,                 1.5031,                0.82323,                 1.0324,                 1.9274,                 1.0882,                 1.0045,                0.80513,                0.54098,                0.61318,                0.32571,                 1.3984,                0.71373,                 1.0209,                  1.758,                0.93274,                 1.0077,               0.009604,               0.009604,               0.009604
                      9,                 1.4812,                0.79533,                 1.0216,                 1.9065,                 1.0418,                0.99566,                0.80688,                0.54977,                0.62084,                0.33622,                 1.3766,                0.68831,                 1.0111,                 1.7239,                0.89689,                0.99832,               0.009538,               0.009538,               0.009538
                     10,                 1.4846,                0.79345,                 1.0206,                 1.9042,                 1.0434,                0.99436,                0.81258,                0.54862,                0.62264,                0.33351,                 1.3765,                0.67319,                 1.0083,                 1.7242,                0.88626,                0.99411,               0.009472,               0.009472,               0.009472
